precinct;gender;nationality;category;num
2;Женский;Финны;Неграмотные;0
2;Женский;Греки;Неграмотные;0
2;Женский;Шведы;Неграмотные;0
2;Женский;Грузины;Неграмотные;2
2;Женский;Белоруссы;Неграмотные;0
2;Женский;Французы;Неграмотные;0
2;Женский;Словаки;Неграмотные;0
2;Женский;Латыши;Неграмотные;1
2;Женский;Англичане;Неграмотные;0
2;Женский;Чуваши;Неграмотные;0
2;Женский;Зыряне;Неграмотные;0
2;Женский;Литвины;Неграмотные;0
2;Женский;Хивинцы;Неграмотные;0
1;Женский;Русские;Неграмотные;2725
1;Женский;Татары;Неграмотные;43
1;Женский;Армяне;Неграмотные;27
1;Женский;Евреи;Неграмотные;34
1;Женский;Немцы;Неграмотные;37
1;Женский;Персы;Неграмотные;0
1;Женский;Поляки;Неграмотные;6
1;Женский;Туркмены;Неграмотные;0
1;Женский;Киргизы;Неграмотные;1
1;Женский;Калмыки;Неграмотные;0
1;Женский;Мордвины;Неграмотные;5
1;Женский;Финны;Неграмотные;0
1;Женский;Греки;Неграмотные;2
1;Женский;Шведы;Неграмотные;0
1;Женский;Грузины;Неграмотные;0
1;Женский;Белоруссы;Неграмотные;0
1;Женский;Французы;Неграмотные;0
1;Женский;Словаки;Неграмотные;0
1;Женский;Латыши;Неграмотные;0
1;Женский;Англичане;Неграмотные;0
1;Женский;Чуваши;Неграмотные;1
1;Женский;Зыряне;Неграмотные;0
1;Женский;Литвины;Неграмотные;0
1;Женский;Хивинцы;Неграмотные;0
5;Женский;Русские;Неграмотные;3877
5;Женский;Татары;Неграмотные;2254
5;Женский;Армяне;Неграмотные;829
5;Женский;Евреи;Неграмотные;57
5;Женский;Немцы;Неграмотные;217
5;Женский;Персы;Неграмотные;255
5;Женский;Поляки;Неграмотные;18
5;Женский;Туркмены;Неграмотные;5
5;Женский;Киргизы;Неграмотные;11
5;Женский;Калмыки;Неграмотные;0
5;Женский;Мордвины;Неграмотные;0
5;Женский;Финны;Неграмотные;0
5;Женский;Греки;Неграмотные;0
5;Женский;Шведы;Неграмотные;0
5;Женский;Грузины;Неграмотные;7
5;Женский;Белоруссы;Неграмотные;1
5;Женский;Французы;Неграмотные;0
5;Женский;Словаки;Неграмотные;0
